;claim;entity;evidence;label
0;Mike Stern blev tidligere kaldt Voldemort.;['Mike_Stern'];[''];NotEnoughInfo
1514;Dy Plambeck blev færdiggjort i 2004.;['Dy_Plambeck'];[''];NotEnoughInfo
1515;Bistrup landsby ligger mellem Drejø og Humlebæk.;['Bistrup_(Tikøb_Sogn)'];[''];NotEnoughInfo
1517;Lagtingsvalget på Færøerne 1950 blev forsinket til november.;['Lagtingsvalget_1950'];[''];NotEnoughInfo
1518;Sebastian Bierk blev født med tre ben.;['Sebastian_Bach'];[''];NotEnoughInfo
1533;Royal Philharmonic Society mødes i Royal Albert Hall i London.;['Royal_Philharmonic_Society'];[''];NotEnoughInfo
1538;Ingerslevs Boulevard i Århus er tosporet.;['Ingerslevs_Boulevard'];[''];NotEnoughInfo
1548;Unirally er et computerspil til Sega Dreamcast.;['Unirally'];[''];NotEnoughInfo
1552;Com Hem AB leverer kabel-tv gennem kabelnet til skoler i Sverige.;['Com_Hem'];[''];NotEnoughInfo
1554;Tamra er et navn fra Israel.;['Tamra'];[''];NotEnoughInfo
1555;Tamra er et biblisk pigenavn.;['Tamra'];[''];NotEnoughInfo
1559;James Mercer blev gift 26. december i Hawaii.;['James_Mercer'];[''];NotEnoughInfo
1572;Frank Murud har været i fængsel.;['Frank_Murud'];[''];NotEnoughInfo
1573;Dansk Arbejder Idrætsforbund blev stiftet i 1929 som modsvar til Dansk Industriforbund.;['Dansk_Arbejder_Idrætsforbund'];[''];NotEnoughInfo
1592;SEPECAT Jaguar gjorde tjeneste i Amerika.;['SEPECAT_Jaguar'];[''];NotEnoughInfo
1596;SEPECAT Jaguar gjorde tjeneste i den danske marine.;['SEPECAT_Jaguar'];[''];NotEnoughInfo
1601;Elijan Dzankovic har spillet i Århus Håndbold i et par år.;['Elijan_Dzankovic'];[''];NotEnoughInfo
1712;Günther Ortmann var en tysk venstre-fløjs håndboldspiller.;['Günther_Ortmann'];[''];NotEnoughInfo
1716;Franjo Tuđman Lufthavn er hovedsæde for det kroatiske luftvåben men betjener også kargo.;"[""Franjo_TuÄ'man_Lufthavn""]";[''];NotEnoughInfo
1717;Den algeriske by Tindouf havde cirka 44.000 indbyggere i 2005.;['Tindouf'];[''];NotEnoughInfo
1730;Roer Moe Shibi er tredobbelt verdensmester og olympisk sølvvinder.;['Moe_Sbihi'];[''];NotEnoughInfo
1747;Langeskovs hovedbygningen blev revet ned i 1862.;['Langeskov_(Hundstrup_Sogn)'];[''];NotEnoughInfo
1760;Fodboldspiller Dennis Schiller scorede 1 mål for Danmarks landshold.;['Dennis_Schiller'];[''];NotEnoughInfo
1790;Faroe Airways betjente ruten fra Vagar på Færøerne til København med et Boeing 777.;['Faroe_Airways'];[''];NotEnoughInfo
1511;Bistrup landsby ligger nord fra Hornbæk og vest fra Tikøb.;['Bistrup_(Tikøb_Sogn)'];[''];NotEnoughInfo
